Year,Region,Month,Sales_USD_1000
1988,Europe,September,751428.0
1988,Europe,October,685134.0
1988,Europe,November,732369.0
1988,Europe,December,736179.0
1988,Japan,January,1287746.0
1988,Japan,February,1318583.0
1988,Japan,March,1400992.0
1988,Japan,April,1443163.0
1988,Japan,May,1443800.0
1988,Japan,June,1596692.0
1988,Japan,July,1534711.0
1988,Japan,August,1449729.0
1988,Japan,September,1531053.0
1988,Japan,October,1656425.0
1988,Japan,November,1716893.0
1988,Japan,December,1728988.0
1988,Asia Pacific,January,333531.0
1988,Asia Pacific,February,353147.0
1988,Asia Pacific,March,425174.0
1988,Asia Pacific,April,413350.0
1988,Asia Pacific,May,417382.0
1988,Asia Pacific,June,473157.0
1988,Asia Pacific,July,449794.0
1988,Asia Pacific,August,469838.0
1988,Asia Pacific,September,503026.0
1988,Asia Pacific,October,491929.0
1988,Asia Pacific,November,519455.0
1988,Asia Pacific,December,524330.0
1988,Worldwide,January,3076247.0
1988,Worldwide,February,3251426.0
1988,Worldwide,March,3710165.0
1988,Worldwide,April,3520249.0
1988,Worldwide,May,3608900.0
1988,Worldwide,June,4084944.0
1988,Worldwide,July,3690149.0
1988,Worldwide,August,3690056.0
1988,Worldwide,September,4062462.0
1988,Worldwide,October,3956305.0
1988,Worldwide,November,4130855.0
1988,Worldwide,December,4223051.0
1989,Americas,January,1111249.0
1989,Americas,February,1206446.0
1989,Americas,March,1370839.0
1989,Americas,April,1245328.0
1989,Americas,May,1233652.0
1989,Americas,June,1361968.0
1989,Americas,July,1153881.0
1989,Americas,August,1184987.0
1989,Americas,September,1339389.0
1989,Americas,October,1187775.0
1989,Americas,November,1208219.0
1989,Americas,December,1225302.0
1989,Europe,January,711490.0
1989,Europe,February,756220.0
1989,Europe,March,869481.0
1989,Europe,April,770203.0
1989,Europe,May,715541.0
1989,Europe,June,809640.0
1989,Europe,July,640689.0
1989,Europe,August,635671.0
1989,Europe,September,846311.0
1989,Europe,October,733167.0
1989,Europe,November,710850.0
1989,Europe,December,741299.0
1989,Japan,January,1551335.0
1989,Japan,February,1594165.0
1989,Japan,March,1641383.0
1989,Japan,April,1654175.0
1989,Japan,May,1561323.0
1989,Japan,June,1624493.0
1989,Japan,July,1632158.0
1989,Japan,August,1538493.0
1989,Japan,September,1581367.0
1989,Japan,October,1630395.0
1989,Japan,November,1573962.0
1989,Japan,December,1562514.0
1989,Asia Pacific,January,452290.0
1989,Asia Pacific,February,448872.0
1989,Asia Pacific,March,534755.0
1989,Asia Pacific,April,483634.0
1989,Asia Pacific,May,487818.0
1989,Asia Pacific,June,537878.0
1989,Asia Pacific,July,468980.0
1989,Asia Pacific,August,465634.0
1989,Asia Pacific,September,516908.0
1989,Asia Pacific,October,467975.0
1989,Asia Pacific,November,471064.0
1989,Asia Pacific,December,511758.0
1989,Worldwide,January,3826364.0
1989,Worldwide,February,4005703.0
1989,Worldwide,March,4416458.0
1989,Worldwide,April,4153340.0
1989,Worldwide,May,3998334.0
1989,Worldwide,June,4333979.0
1989,Worldwide,July,3895708.0
1989,Worldwide,August,3824785.0
1989,Worldwide,September,4283975.0
1989,Worldwide,October,4019312.0
1989,Worldwide,November,3964095.0
1989,Worldwide,December,4040873.0
1990,Americas,January,1055827.0
1990,Americas,February,1107641.0
1990,Americas,March,1326514.0
1990,Americas,April,1145964.0
1990,Americas,May,1193839.0
1990,Americas,June,1317676.0
1990,Americas,July,1130835.0
1990,Americas,August,1229168.0
1990,Americas,September,1335936.0
1990,Americas,October,1206712.0
1990,Americas,November,1182091.0
1990,Americas,December,1213234.0
1990,Europe,January,700723.0
1990,Europe,February,743146.0
1990,Europe,March,900981.0
1990,Europe,April,744998.0
1990,Europe,May,772192.0
1990,Europe,June,891609.0
1990,Europe,July,738098.0
1990,Europe,August,727183.0
1990,Europe,September,912755.0
1990,Europe,October,819633.0
1990,Europe,November,808928.0
1990,Europe,December,838388.0
1990,Japan,January,1421004.0
1990,Japan,February,1448870.0
1990,Japan,March,1472713.0
1990,Japan,April,1401811.0
1990,Japan,May,1456389.0
1990,Japan,June,1617484.0
1990,Japan,July,1684396.0
1990,Japan,August,1585911.0
1990,Japan,September,1825002.0
1990,Japan,October,1909542.0
1990,Japan,November,1924936.0
1990,Japan,December,1815059.0
1990,Asia Pacific,January,424172.0
1990,Asia Pacific,February,482574.0
1990,Asia Pacific,March,570160.0
1990,Asia Pacific,April,523270.0
1990,Asia Pacific,May,564258.0
1990,Asia Pacific,June,616154.0
1990,Asia Pacific,July,582145.0
1990,Asia Pacific,August,609515.0
1990,Asia Pacific,September,669269.0
1990,Asia Pacific,October,628863.0
1990,Asia Pacific,November,605038.0
1990,Asia Pacific,December,636326.0
1990,Worldwide,January,3601726.0
1990,Worldwide,February,3782231.0
1990,Worldwide,March,4270368.0
1990,Worldwide,April,3816043.0
1990,Worldwide,May,3986678.0
1990,Worldwide,June,4442923.0
1990,Worldwide,July,4135474.0
1990,Worldwide,August,4151777.0
1990,Worldwide,September,4742962.0
1990,Worldwide,October,4564750.0
1990,Worldwide,November,4520993.0
1990,Worldwide,December,4503007.0
1991,Americas,January,1143298.0
1991,Americas,February,1217353.0
1991,Americas,March,1426972.0
1991,Americas,April,1208734.0
1991,Americas,May,1232198.0
1991,Americas,June,1390279.0
1991,Americas,July,1151781.0
1991,Americas,August,1229369.0
1991,Americas,September,1480484.0
1991,Americas,October,1210419.0
1991,Americas,November,1291194.0
1991,Americas,December,1394192.0
1991,Europe,January,807995.0
1991,Europe,February,874934.0
1991,Europe,March,997469.0
1991,Europe,April,806641.0
1991,Europe,May,816393.0
1991,Europe,June,952982.0
1991,Europe,July,699730.0
1991,Europe,August,725496.0
1991,Europe,September,977120.0
1991,Europe,October,802799.0
1991,Europe,November,828180.0
1991,Europe,December,825121.0
1991,Japan,January,1612391.0
1991,Japan,February,1745898.0
1991,Japan,March,1787181.0
1991,Japan,April,1680403.0
1991,Japan,May,1697557.0
1991,Japan,June,1804178.0
1991,Japan,July,1812379.0
1991,Japan,August,1673650.0
1991,Japan,September,1854049.0
1991,Japan,October,1782817.0
1991,Japan,November,1758915.0
1991,Japan,December,1725581.0
1991,Asia Pacific,January,567864.0
1991,Asia Pacific,February,601440.0
1991,Asia Pacific,March,689775.0
1991,Asia Pacific,April,619630.0
1991,Asia Pacific,May,659335.0
1991,Asia Pacific,June,761638.0
1991,Asia Pacific,July,668927.0
1991,Asia Pacific,August,669731.0
1991,Asia Pacific,September,773053.0
1991,Asia Pacific,October,697074.0
1991,Asia Pacific,November,713730.0
1991,Asia Pacific,December,759125.0
1991,Worldwide,January,4131548.0
1991,Worldwide,February,4439625.0
1991,Worldwide,March,4901397.0
1991,Worldwide,April,4315408.0
1991,Worldwide,May,4405483.0
1991,Worldwide,June,4909077.0
1991,Worldwide,July,4332817.0
1991,Worldwide,August,4298246.0
1991,Worldwide,September,5084706.0
1991,Worldwide,October,4493109.0
1991,Worldwide,November,4592019.0
1991,Worldwide,December,4704019.0
1992,Americas,January,1283004.0
1992,Americas,February,1305160.0
1992,Americas,March,1606288.0
1992,Americas,April,1377033.0
1992,Americas,May,1386386.0
1992,Americas,June,1627983.0
1992,Americas,July,1417599.0
1992,Americas,August,1490870.0
1992,Americas,September,1811903.0
1992,Americas,October,1560184.0
1992,Americas,November,1657251.0
1992,Americas,December,1887095.0
1992,Europe,January,865778.0
1992,Europe,February,865850.0
1992,Europe,March,1007745.0
1992,Europe,April,848457.0
1992,Europe,May,867857.0
1992,Europe,June,1025466.0
1992,Europe,July,834451.0
1992,Europe,August,883351.0
1992,Europe,September,1188526.0
1992,Europe,October,1006966.0
1992,Europe,November,1020525.0
1992,Europe,December,1055456.0
1992,Japan,January,1546622.0
1992,Japan,February,1510697.0
1992,Japan,March,1516198.0
1992,Japan,April,1439648.0
1992,Japan,May,1462557.0
1992,Japan,June,1689422.0
1992,Japan,July,1781775.0
1992,Japan,August,1596386.0
1992,Japan,September,1840636.0
1992,Japan,October,1754525.0
1992,Japan,November,1658238.0
1992,Japan,December,1599414.0
1992,Asia Pacific,January,720399.0
1992,Asia Pacific,February,735101.0
1992,Asia Pacific,March,848402.0
1992,Asia Pacific,April,769133.0
1992,Asia Pacific,May,846552.0
1992,Asia Pacific,June,964585.0
1992,Asia Pacific,July,844812.0
1992,Asia Pacific,August,868982.0
1992,Asia Pacific,September,1018271.0
1992,Asia Pacific,October,912614.0
1992,Asia Pacific,November,993549.0
1992,Asia Pacific,December,1065256.0
1992,Worldwide,January,4415803.0
1992,Worldwide,February,4416808.0
1992,Worldwide,March,4978633.0
1992,Worldwide,April,4434271.0
1992,Worldwide,May,4563352.0
1992,Worldwide,June,5307456.0
1992,Worldwide,July,4878637.0
1992,Worldwide,August,4839589.0
1992,Worldwide,September,5859336.0
1992,Worldwide,October,5234289.0
1992,Worldwide,November,5329563.0
1992,Worldwide,December,5607221.0
1993,Americas,January,1576795.0
1993,Americas,February,1783951.0
1993,Americas,March,2201464.0
1993,Americas,April,1815346.0
1993,Americas,May,1898999.0
1993,Americas,June,2379808.0
1993,Americas,July,1854456.0
1993,Americas,August,2039793.0
1993,Americas,September,2539367.0
1993,Americas,October,2015423.0
1993,Americas,November,2136193.0
1993,Americas,December,2502413.0
1993,Europe,January,936794.0
1993,Europe,February,1048188.0
1993,Europe,March,1317355.0
1993,Europe,April,1105437.0
1993,Europe,May,1174687.0
1993,Europe,June,1351115.0
1993,Europe,July,1085722.0
1993,Europe,August,1110055.0
1993,Europe,September,1480152.0
1993,Europe,October,1276641.0
1993,Europe,November,1339624.0
1993,Europe,December,1373228.0
1993,Japan,January,1473117.0
1993,Japan,February,1582069.0
1993,Japan,March,1759146.0
1993,Japan,April,1810633.0
1993,Japan,May,1848633.0
1993,Japan,June,2187141.0
1993,Japan,July,2217725.0
1993,Japan,August,2104810.0
1993,Japan,September,2353363.0
1993,Japan,October,2175919.0
1993,Japan,November,2178841.0
1993,Japan,December,2106991.0
1993,Asia Pacific,January,855980.0
1993,Asia Pacific,February,1010749.0
1993,Asia Pacific,March,1167016.0
1993,Asia Pacific,April,1094295.0
1993,Asia Pacific,May,1116039.0
1993,Asia Pacific,June,1259364.0
1993,Asia Pacific,July,1207058.0
1993,Asia Pacific,August,1266067.0
1993,Asia Pacific,September,1409681.0
1993,Asia Pacific,October,1205876.0
1993,Asia Pacific,November,1261237.0
1993,Asia Pacific,December,1314929.0
1993,Worldwide,January,4842686.0
1993,Worldwide,February,5424957.0
1993,Worldwide,March,6444981.0
1993,Worldwide,April,5825711.0
1993,Worldwide,May,6038358.0
1993,Worldwide,June,7177428.0
1993,Worldwide,July,6364959.0
1993,Worldwide,August,6520724.0
1993,Worldwide,September,7782563.0
1993,Worldwide,October,6673859.0
1993,Worldwide,November,6915895.0
1993,Worldwide,December,7297560.0
1994,Americas,January,2195094.0
1994,Americas,February,2336042.0
1994,Americas,March,2775581.0
1994,Americas,April,2508645.0
1994,Americas,May,2514867.0
1994,Americas,June,3051443.0
1994,Americas,July,2462960.0
1994,Americas,August,2825889.0
1994,Americas,September,3425229.0
1994,Americas,October,2986537.0
1994,Americas,November,2962800.0
1994,Americas,December,3516499.0
1994,Europe,January,1291004.0
1994,Europe,February,1357721.0
1994,Europe,March,1589355.0
1994,Europe,April,1462097.0
1994,Europe,May,1478946.0
1994,Europe,June,1807893.0
1994,Europe,July,1398823.0
1994,Europe,August,1509781.0
1994,Europe,September,2025441.0
1994,Europe,October,1870808.0
1994,Europe,November,1939709.0
1994,Europe,December,2004707.0
1994,Japan,January,1898178.0
1994,Japan,February,2033128.0
1994,Japan,March,2308591.0
1994,Japan,April,2255227.0
1994,Japan,May,2268816.0
1994,Japan,June,2565505.0
1994,Japan,July,2631936.0
1994,Japan,August,2468047.0
1994,Japan,September,2768472.0
1994,Japan,October,2742697.0
1994,Japan,November,2806029.0
1994,Japan,December,2659723.0
1994,Asia Pacific,January,1282828.0
1994,Asia Pacific,February,1262962.0
1994,Asia Pacific,March,1543314.0
1994,Asia Pacific,April,1460412.0
1994,Asia Pacific,May,1515274.0
1994,Asia Pacific,June,1733660.0
1994,Asia Pacific,July,1537993.0
1994,Asia Pacific,August,1645354.0
1994,Asia Pacific,September,1857564.0
1994,Asia Pacific,October,1672517.0
1994,Asia Pacific,November,1752811.0
1994,Asia Pacific,December,1909684.0
1994,Worldwide,January,6667104.0
1994,Worldwide,February,6989853.0
1994,Worldwide,March,8216841.0
1994,Worldwide,April,7686381.0
1994,Worldwide,May,7777903.0
1994,Worldwide,June,9158501.0
1994,Worldwide,July,8031712.0
1994,Worldwide,August,8449071.0
1994,Worldwide,September,10076706.0
1994,Worldwide,October,9272559.0
1994,Worldwide,November,9461349.0
1994,Worldwide,December,10090613.0
1995,Americas,January,2975184.0
1995,Americas,February,3198121.0
1995,Americas,March,3994742.0
1995,Americas,April,3346810.0
1995,Americas,May,3451050.0
1995,Americas,June,4355697.0
1995,Americas,July,3398858.0
1995,Americas,August,3965714.0
1995,Americas,September,4852650.0
1995,Americas,October,4114971.0
1995,Americas,November,4386548.0
1995,Americas,December,4958117.0
1995,Europe,January,1887830.0
1995,Europe,February,2006521.0
1995,Europe,March,2485883.0
1995,Europe,April,2139874.0
1995,Europe,May,2190945.0
1995,Europe,June,2613929.0
1995,Europe,July,2064455.0
1995,Europe,August,2229756.0
1995,Europe,September,2851230.0
1995,Europe,October,2492094.0
1995,Europe,November,2644315.0
1995,Europe,December,2591838.0
1995,Japan,January,2518007.0
1995,Japan,February,2763394.0
1995,Japan,March,3166605.0
1995,Japan,April,3381908.0
1995,Japan,May,3323489.0
1995,Japan,June,3811247.0
1995,Japan,July,3592339.0
1995,Japan,August,3273628.0
1995,Japan,September,3422927.0
1995,Japan,October,3378168.0
1995,Japan,November,3432276.0
1995,Japan,December,3602689.0
1995,Asia Pacific,January,1842393.0
1995,Asia Pacific,February,2043788.0
1995,Asia Pacific,March,2469688.0
1995,Asia Pacific,April,2285955.0
1995,Asia Pacific,May,2408738.0
1995,Asia Pacific,June,2821276.0
1995,Asia Pacific,July,2432135.0
1995,Asia Pacific,August,2572269.0
1995,Asia Pacific,September,2749308.0
1995,Asia Pacific,October,2570824.0
1995,Asia Pacific,November,2669079.0
1995,Asia Pacific,December,2674418.0
1995,Worldwide,January,9223414.0
1995,Worldwide,February,10011824.0
1995,Worldwide,March,12116918.0
1995,Worldwide,April,11154547.0
1995,Worldwide,May,11374222.0
1995,Worldwide,June,13602149.0
1995,Worldwide,July,11487787.0
1995,Worldwide,August,12041368.0
1995,Worldwide,September,13876115.0
1995,Worldwide,October,12556058.0
1995,Worldwide,November,13132217.0
1995,Worldwide,December,13827062.0
1996,Americas,January,3675343.0
1996,Americas,February,3944980.0
1996,Americas,March,4567057.0
1996,Americas,April,3205334.0
1996,Americas,May,3248067.0
1996,Americas,June,3625373.0
1996,Americas,July,2787850.0
1996,Americas,August,3126662.0
1996,Americas,September,3909092.0
1996,Americas,October,3314033.0
1996,Americas,November,3398109.0
1996,Americas,December,3877116.0
1996,Europe,January,2452042.0
1996,Europe,February,2545294.0
1996,Europe,March,2824629.0
1996,Europe,April,2207867.0
1996,Europe,May,2073280.0
1996,Europe,June,2310978.0
1996,Europe,July,1746097.0
1996,Europe,August,1832233.0
1996,Europe,September,2571859.0
1996,Europe,October,2296102.0
1996,Europe,November,2265380.0
1996,Europe,December,2436228.0
1996,Japan,January,2866624.0
1996,Japan,February,3000074.0
1996,Japan,March,3203510.0
1996,Japan,April,2718915.0
1996,Japan,May,2730779.0
1996,Japan,June,2954049.0
1996,Japan,July,2714929.0
1996,Japan,August,2592154.0
1996,Japan,September,3028488.0
1996,Japan,October,2680685.0
1996,Japan,November,2848916.0
1996,Japan,December,2836114.0
1996,Asia Pacific,January,2412289.0
1996,Asia Pacific,February,2204552.0
1996,Asia Pacific,March,2623579.0
1996,Asia Pacific,April,2190414.0
1996,Asia Pacific,May,2101610.0
1996,Asia Pacific,June,2440959.0
1996,Asia Pacific,July,2002191.0
1996,Asia Pacific,August,2079751.0
1996,Asia Pacific,September,2478693.0
1996,Asia Pacific,October,2197499.0
1996,Asia Pacific,November,2292074.0
1996,Asia Pacific,December,2526581.0
1996,Worldwide,January,11406298.0
1996,Worldwide,February,11694900.0
1996,Worldwide,March,13218775.0
1996,Worldwide,April,10322530.0
1996,Worldwide,May,10153736.0
1996,Worldwide,June,11331358.0
1996,Worldwide,July,9251067.0
1996,Worldwide,August,9630800.0
1996,Worldwide,September,11988132.0
1996,Worldwide,October,10488318.0
1996,Worldwide,November,10804479.0
1996,Worldwide,December,11676039.0
1997,Americas,January,3030591.0
1997,Americas,February,3363775.0
1997,Americas,March,4647195.0
1997,Americas,April,3371540.0
1997,Americas,May,3732943.0
1997,Americas,June,4462311.0
1997,Americas,July,3380788.0
1997,Americas,August,3765124.0
1997,Americas,September,4686234.0
1997,Americas,October,3479007.0
1997,Americas,November,3760475.0
1997,Americas,December,4170911.0
1997,Europe,January,2119212.0
1997,Europe,February,2213728.0
1997,Europe,March,2791913.0
1997,Europe,April,2179595.0
1997,Europe,May,2174539.0
1997,Europe,June,2755834.0
1997,Europe,July,2000471.0
1997,Europe,August,2095908.0
1997,Europe,September,3052165.0
1997,Europe,October,2461922.0
1997,Europe,November,2554419.0
1997,Europe,December,2689093.0
1997,Japan,January,2409249.0
1997,Japan,February,2493755.0
1997,Japan,March,2858376.0
1997,Japan,April,2322244.0
1997,Japan,May,2713631.0
1997,Japan,June,3251312.0
1997,Japan,July,2849744.0
1997,Japan,August,2595026.0
1997,Japan,September,3001634.0
1997,Japan,October,2636161.0
1997,Japan,November,2509186.0
1997,Japan,December,2439064.0
1997,Asia Pacific,January,1952130.0
1997,Asia Pacific,February,2038418.0
1997,Asia Pacific,March,2984934.0
1997,Asia Pacific,April,2165731.0
1997,Asia Pacific,May,2432448.0
1997,Asia Pacific,June,2797763.0
1997,Asia Pacific,July,2397599.0
1997,Asia Pacific,August,2566652.0
1997,Asia Pacific,September,3097224.0
1997,Asia Pacific,October,2533531.0
1997,Asia Pacific,November,2569883.0
1997,Asia Pacific,December,2647733.0
1997,Worldwide,January,9511182.0
1997,Worldwide,February,10109676.0
1997,Worldwide,March,13282418.0
1997,Worldwide,April,10039110.0
1997,Worldwide,May,11053561.0
1997,Worldwide,June,13267220.0
1997,Worldwide,July,10628604.0
1997,Worldwide,August,11022709.0
1997,Worldwide,September,13837257.0
1997,Worldwide,October,11110621.0
1997,Worldwide,November,11393962.0
1997,Worldwide,December,11946800.0
1998,Americas,January,3133805.0
1998,Americas,February,3335998.0
1998,Americas,March,3853748.0
1998,Americas,April,3021827.0
1998,Americas,May,2949506.0
1998,Americas,June,3818223.0
1998,Americas,July,2877577.0
1998,Americas,August,3271366.0
1998,Americas,September,4210405.0
1998,Americas,October,3398594.0
1998,Americas,November,3478136.0
1998,Americas,December,4082741.0
1998,Europe,January,2296305.0
1998,Europe,February,2315488.0
1998,Europe,March,2728293.0
1998,Europe,April,2202143.0
1998,Europe,May,2081210.0
1998,Europe,June,2585314.0
1998,Europe,July,1984717.0
1998,Europe,August,2122412.0
1998,Europe,September,2998842.0
1998,Europe,October,2621688.0
1998,Europe,November,2684199.0
1998,Europe,December,2785653.0
1998,Japan,January,2107819.0
1998,Japan,February,2175518.0
1998,Japan,March,2429828.0
1998,Japan,April,2000880.0
1998,Japan,May,1960964.0
1998,Japan,June,2200326.0
1998,Japan,July,1998234.0
1998,Japan,August,1824718.0
1998,Japan,September,2271433.0
1998,Japan,October,2346921.0
1998,Japan,November,2274550.0
1998,Japan,December,2329826.0
1998,Asia Pacific,January,2019984.0
1998,Asia Pacific,February,2272918.0
1998,Asia Pacific,March,2698388.0
1998,Asia Pacific,April,2314450.0
1998,Asia Pacific,May,2037949.0
1998,Asia Pacific,June,2431241.0
1998,Asia Pacific,July,2109965.0
1998,Asia Pacific,August,2241523.0
1998,Asia Pacific,September,2790774.0
1998,Asia Pacific,October,2507198.0
1998,Asia Pacific,November,2605070.0
1998,Asia Pacific,December,2823332.0
1998,Worldwide,January,9557913.0
1998,Worldwide,February,10099922.0
1998,Worldwide,March,11710257.0
1998,Worldwide,April,9539300.0
1998,Worldwide,May,9029629.0
1998,Worldwide,June,11035104.0
1998,Worldwide,July,8970493.0
1998,Worldwide,August,9460019.0
1998,Worldwide,September,12271454.0
1998,Worldwide,October,10874401.0
1998,Worldwide,November,11041955.0
1998,Worldwide,December,12021552.0
1999,Americas,January,3219522.0
1999,Americas,February,3373861.0
1999,Americas,March,4259443.0
1999,Americas,April,3281477.0
1999,Americas,May,3435805.0
1999,Americas,June,4278314.0
1999,Americas,July,3617796.0
1999,Americas,August,3817852.0
1999,Americas,September,4637938.0
1999,Americas,October,4086671.0
1999,Americas,November,4200511.0
1999,Americas,December,5268690.0
1999,Europe,January,2294293.0
1999,Europe,February,2412757.0
1999,Europe,March,2890815.0
1999,Europe,April,2149507.0
1999,Europe,May,2206092.0
1999,Europe,June,2623049.0
1999,Europe,July,2233808.0
1999,Europe,August,2467182.0
1999,Europe,September,3276095.0
1999,Europe,October,2791699.0
1999,Europe,November,3133424.0
1999,Europe,December,3402553.0
1999,Japan,January,2280451.0
1999,Japan,February,2304261.0
1999,Japan,March,2677624.0
1999,Japan,April,2306819.0
1999,Japan,May,2371840.0
1999,Japan,June,2700963.0
1999,Japan,July,2610182.0
1999,Japan,August,2607673.0
1999,Japan,September,3149993.0
1999,Japan,October,3114181.0
1999,Japan,November,3300784.0
1999,Japan,December,3410326.0
1999,Asia Pacific,January,2476532.0
1999,Asia Pacific,February,2363997.0
1999,Asia Pacific,March,2989220.0
1999,Asia Pacific,April,2628275.0
1999,Asia Pacific,May,2716116.0
1999,Asia Pacific,June,3007709.0
1999,Asia Pacific,July,2780811.0
1999,Asia Pacific,August,2989192.0
1999,Asia Pacific,September,3827276.0
1999,Asia Pacific,October,3397875.0
1999,Asia Pacific,November,3791692.0
1999,Asia Pacific,December,4215605.0
1999,Worldwide,January,10270798.0
1999,Worldwide,February,10454876.0
1999,Worldwide,March,12817102.0
1999,Worldwide,April,10366078.0
1999,Worldwide,May,10729853.0
1999,Worldwide,June,12610035.0
1999,Worldwide,July,11242597.0
1999,Worldwide,August,11881899.0
1999,Worldwide,September,14891302.0
1999,Worldwide,October,13390426.0
1999,Worldwide,November,14426411.0
1999,Worldwide,December,16297174.0
2000,Americas,January,4132023.0
2000,Americas,February,4070165.0
2000,Americas,March,5594723.0
2000,Americas,April,4257407.0
2000,Americas,May,4915747.0
2000,Americas,June,6756937.0
2000,Americas,July,4947587.0
2000,Americas,August,5821267.0
2000,Americas,September,6923671.0
2000,Americas,October,4948717.0
2000,Americas,November,4936959.0
2000,Americas,December,6766156.0
2000,Europe,January,2949840.0
2000,Europe,February,3083193.0
2000,Europe,March,3858674.0
2000,Europe,April,3060428.0
2000,Europe,May,3275103.0
2000,Europe,June,4040056.0
2000,Europe,July,3007787.0
2000,Europe,August,3613962.0
2000,Europe,September,4244418.0
2000,Europe,October,3525230.0
2000,Europe,November,3634755.0
2000,Europe,December,4015491.0
2000,Japan,January,3158416.0
2000,Japan,February,3246422.0
2000,Japan,March,3655218.0
2000,Japan,April,3381266.0
2000,Japan,May,3552574.0
2000,Japan,June,4199465.0
2000,Japan,July,3913499.0
2000,Japan,August,4035747.0
2000,Japan,September,4690269.0
2000,Japan,October,4334285.0
2000,Japan,November,4256402.0
2000,Japan,December,4325783.0
2000,Asia Pacific,January,3550964.0
