year,company,country_iso3_x,process_node_nm,fab_type,monthly_wafer_capacity,fab_started_year,company_name,ticker,country_iso3_y,segment,revenue_usd_bn,operating_margin_pct,operating_income_usd_bn,rd_spend_usd_bn,capex_usd_bn
2025,Intel,USA,14,logic_mature,109920,2015,Intel,INTC,USA,idm_cpu,57.44,9.2,5.29,11.49,14.36
2026,Intel,USA,14,logic_mature,109401,2015,Intel,INTC,USA,idm_cpu,59.79,12.5,7.47,11.96,14.95
2012,Intel,USA,22,logic_mature,0,2012,Intel,INTC,USA,idm_cpu,50.66,18.6,9.44,10.13,12.67
2013,Intel,USA,22,logic_mature,51425,2012,Intel,INTC,USA,idm_cpu,50.78,23.9,12.15,10.16,12.7
2014,Intel,USA,22,logic_mature,93744,2012,Intel,INTC,USA,idm_cpu,50.47,16.2,8.2,10.09,12.62
2015,Intel,USA,22,logic_mature,152668,2012,Intel,INTC,USA,idm_cpu,52.71,17.6,9.29,10.54,13.18
2016,Intel,USA,22,logic_mature,165055,2012,Intel,INTC,USA,idm_cpu,61.27,21.6,13.22,12.25,15.32
2017,Intel,USA,22,logic_mature,153537,2012,Intel,INTC,USA,idm_cpu,66.18,15.8,10.43,13.24,16.54
2018,Intel,USA,22,logic_mature,147204,2012,Intel,INTC,USA,idm_cpu,66.06,20.2,13.32,13.21,16.51
2019,Intel,USA,22,logic_mature,146244,2012,Intel,INTC,USA,idm_cpu,73.31,21.4,15.67,14.66,18.33
2020,Intel,USA,22,logic_mature,146953,2012,Intel,INTC,USA,idm_cpu,79.56,20.4,16.24,15.91,19.89
2021,Intel,USA,22,logic_mature,148107,2012,Intel,INTC,USA,idm_cpu,72.13,20.7,14.92,14.43,18.03
2022,Intel,USA,22,logic_mature,147193,2012,Intel,INTC,USA,idm_cpu,64.11,7.9,5.06,12.82,16.03
2023,Intel,USA,22,logic_mature,157032,2012,Intel,INTC,USA,idm_cpu,53.91,10.6,5.71,10.78,13.48
2024,Intel,USA,22,logic_mature,137548,2012,Intel,INTC,USA,idm_cpu,54.42,8.8,4.8,10.88,13.61
2025,Intel,USA,22,logic_mature,164436,2012,Intel,INTC,USA,idm_cpu,57.44,9.2,5.29,11.49,14.36
2026,Intel,USA,22,logic_mature,161897,2012,Intel,INTC,USA,idm_cpu,59.79,12.5,7.47,11.96,14.95
2024,Intel,ISR,7,logic_leading,0,2024,Intel,INTC,USA,idm_cpu,54.42,8.8,4.8,10.88,13.61
2025,Intel,ISR,7,logic_leading,39698,2024,Intel,INTC,USA,idm_cpu,57.44,9.2,5.29,11.49,14.36
2026,Intel,ISR,7,logic_leading,47022,2024,Intel,INTC,USA,idm_cpu,59.79,12.5,7.47,11.96,14.95
2026,Intel,DEU,7,logic_leading,23413,2026,Intel,INTC,USA,idm_cpu,59.79,12.5,7.47,11.96,14.95
2020,SMIC,CHN,14,logic_mature,0,2020,SMIC,0981,CHN,foundry,3.92,42.9,1.68,0.31,1.76
2021,SMIC,CHN,14,logic_mature,10815,2020,SMIC,0981,CHN,foundry,5.52,36.4,2.01,0.44,2.48
2022,SMIC,CHN,14,logic_mature,24320,2020,SMIC,0981,CHN,foundry,7.09,37.8,2.68,0.57,3.19
2023,SMIC,CHN,14,logic_mature,35715,2020,SMIC,0981,CHN,foundry,6.72,37.5,2.52,0.54,3.02
2024,SMIC,CHN,14,logic_mature,32300,2020,SMIC,0981,CHN,foundry,8.2,37.3,3.06,0.66,3.69
2025,SMIC,CHN,14,logic_mature,36705,2020,SMIC,0981,CHN,foundry,10.28,41.2,4.23,0.82,4.63
2026,SMIC,CHN,14,logic_mature,39208,2020,SMIC,0981,CHN,foundry,11.94,39.9,4.76,0.96,5.37
2016,SMIC,CHN,28,logic_mature,0,2016,SMIC,0981,CHN,foundry,2.68,40.5,1.09,0.21,1.21
2017,SMIC,CHN,28,logic_mature,20178,2016,SMIC,0981,CHN,foundry,2.99,36.9,1.1,0.24,1.34
2018,SMIC,CHN,28,logic_mature,40586,2016,SMIC,0981,CHN,foundry,3.23,38.5,1.25,0.26,1.46
2019,SMIC,CHN,28,logic_mature,64587,2016,SMIC,0981,CHN,foundry,3.64,45.3,1.65,0.29,1.64
2020,SMIC,CHN,28,logic_mature,63793,2016,SMIC,0981,CHN,foundry,3.92,42.9,1.68,0.31,1.76
2021,SMIC,CHN,28,logic_mature,51986,2016,SMIC,0981,CHN,foundry,5.52,36.4,2.01,0.44,2.48
2022,SMIC,CHN,28,logic_mature,59055,2016,SMIC,0981,CHN,foundry,7.09,37.8,2.68,0.57,3.19
2023,SMIC,CHN,28,logic_mature,59508,2016,SMIC,0981,CHN,foundry,6.72,37.5,2.52,0.54,3.02
2024,SMIC,CHN,28,logic_mature,54967,2016,SMIC,0981,CHN,foundry,8.2,37.3,3.06,0.66,3.69
2025,SMIC,CHN,28,logic_mature,63297,2016,SMIC,0981,CHN,foundry,10.28,41.2,4.23,0.82,4.63
2026,SMIC,CHN,28,logic_mature,70252,2016,SMIC,0981,CHN,foundry,11.94,39.9,4.76,0.96,5.37
2023,SMIC,CHN,7,logic_leading,0,2023,SMIC,0981,CHN,foundry,6.72,37.5,2.52,0.54,3.02
2024,SMIC,CHN,7,logic_leading,5084,2023,SMIC,0981,CHN,foundry,8.2,37.3,3.06,0.66,3.69
2025,SMIC,CHN,7,logic_leading,15045,2023,SMIC,0981,CHN,foundry,10.28,41.2,4.23,0.82,4.63
2026,SMIC,CHN,7,logic_leading,15954,2023,SMIC,0981,CHN,foundry,11.94,39.9,4.76,0.96,5.37
2014,GlobalFoundries,USA,14,logic_mature,0,2014,GlobalFoundries,GFS,USA,foundry,4.64,40.5,1.88,0.37,2.09
2015,GlobalFoundries,USA,14,logic_mature,9732,2014,GlobalFoundries,GFS,USA,foundry,5.09,39.1,1.99,0.41,2.29
2016,GlobalFoundries,USA,14,logic_mature,20467,2014,GlobalFoundries,GFS,USA,foundry,5.47,38.0,2.08,0.44,2.46
2017,GlobalFoundries,USA,14,logic_mature,27320,2014,GlobalFoundries,GFS,USA,foundry,5.74,38.9,2.23,0.46,2.58
2018,GlobalFoundries,USA,14,logic_mature,32927,2014,GlobalFoundries,GFS,USA,foundry,5.98,41.5,2.48,0.48,2.69
2019,GlobalFoundries,USA,14,logic_mature,30917,2014,GlobalFoundries,GFS,USA,foundry,5.47,40.0,2.19,0.44,2.46
2020,GlobalFoundries,USA,14,logic_mature,29727,2014,GlobalFoundries,GFS,USA,foundry,4.97,41.3,2.06,0.4,2.24
2021,GlobalFoundries,USA,14,logic_mature,30875,2014,GlobalFoundries,GFS,USA,foundry,6.63,39.7,2.63,0.53,2.98
2022,GlobalFoundries,USA,14,logic_mature,27958,2014,GlobalFoundries,GFS,USA,foundry,8.0,39.8,3.18,0.64,3.6
2023,GlobalFoundries,USA,14,logic_mature,31827,2014,GlobalFoundries,GFS,USA,foundry,7.03,35.7,2.51,0.56,3.17
2024,GlobalFoundries,USA,14,logic_mature,29517,2014,GlobalFoundries,GFS,USA,foundry,6.54,37.0,2.42,0.52,2.94
2025,GlobalFoundries,USA,14,logic_mature,31180,2014,GlobalFoundries,GFS,USA,foundry,7.24,37.3,2.7,0.58,3.26
2026,GlobalFoundries,USA,14,logic_mature,32198,2014,GlobalFoundries,GFS,USA,foundry,7.42,43.9,3.26,0.59,3.34
2018,GlobalFoundries,DEU,22,logic_mature,0,2018,GlobalFoundries,GFS,USA,foundry,5.98,41.5,2.48,0.48,2.69
2019,GlobalFoundries,DEU,22,logic_mature,17255,2018,GlobalFoundries,GFS,USA,foundry,5.47,40.0,2.19,0.44,2.46
2020,GlobalFoundries,DEU,22,logic_mature,33762,2018,GlobalFoundries,GFS,USA,foundry,4.97,41.3,2.06,0.4,2.24
2021,GlobalFoundries,DEU,22,logic_mature,51656,2018,GlobalFoundries,GFS,USA,foundry,6.63,39.7,2.63,0.53,2.98
2022,GlobalFoundries,DEU,22,logic_mature,49978,2018,GlobalFoundries,GFS,USA,foundry,8.0,39.8,3.18,0.64,3.6
2023,GlobalFoundries,DEU,22,logic_mature,51299,2018,GlobalFoundries,GFS,USA,foundry,7.03,35.7,2.51,0.56,3.17
2024,GlobalFoundries,DEU,22,logic_mature,48963,2018,GlobalFoundries,GFS,USA,foundry,6.54,37.0,2.42,0.52,2.94
2025,GlobalFoundries,DEU,22,logic_mature,58691,2018,GlobalFoundries,GFS,USA,foundry,7.24,37.3,2.7,0.58,3.26
2026,GlobalFoundries,DEU,22,logic_mature,50852,2018,GlobalFoundries,GFS,USA,foundry,7.42,43.9,3.26,0.59,3.34
2020,GlobalFoundries,USA,12,logic_mature,0,2020,GlobalFoundries,GFS,USA,foundry,4.97,41.3,2.06,0.4,2.24
2021,GlobalFoundries,USA,12,logic_mature,12492,2020,GlobalFoundries,GFS,USA,foundry,6.63,39.7,2.63,0.53,2.98
2022,GlobalFoundries,USA,12,logic_mature,22360,2020,GlobalFoundries,GFS,USA,foundry,8.0,39.8,3.18,0.64,3.6
2023,GlobalFoundries,USA,12,logic_mature,39126,2020,GlobalFoundries,GFS,USA,foundry,7.03,35.7,2.51,0.56,3.17
2024,GlobalFoundries,USA,12,logic_mature,36786,2020,GlobalFoundries,GFS,USA,foundry,6.54,37.0,2.42,0.52,2.94
2025,GlobalFoundries,USA,12,logic_mature,38578,2020,GlobalFoundries,GFS,USA,foundry,7.24,37.3,2.7,0.58,3.26
2026,GlobalFoundries,USA,12,logic_mature,38553,2020,GlobalFoundries,GFS,USA,foundry,7.42,43.9,3.26,0.59,3.34
2013,UMC,TWN,28,logic_mature,0,2013,UMC,UMC,TWN,foundry,4.64,34.8,1.61,0.37,2.09
2014,UMC,TWN,28,logic_mature,32986,2013,UMC,UMC,TWN,foundry,4.62,40.7,1.88,0.37,2.08
2015,UMC,TWN,28,logic_mature,67981,2013,UMC,UMC,TWN,foundry,4.52,35.7,1.61,0.36,2.03
2016,UMC,TWN,28,logic_mature,107257,2013,UMC,UMC,TWN,foundry,4.71,38.4,1.81,0.38,2.12
2017,UMC,TWN,28,logic_mature,100910,2013,UMC,UMC,TWN,foundry,4.83,40.1,1.94,0.39,2.18
2018,UMC,TWN,28,logic_mature,95545,2013,UMC,UMC,TWN,foundry,5.14,39.3,2.02,0.41,2.31
2019,UMC,TWN,28,logic_mature,104208,2013,UMC,UMC,TWN,foundry,5.29,40.5,2.14,0.42,2.38
2020,UMC,TWN,28,logic_mature,104713,2013,UMC,UMC,TWN,foundry,6.04,44.1,2.66,0.48,2.72
2021,UMC,TWN,28,logic_mature,103327,2013,UMC,UMC,TWN,foundry,7.69,41.1,3.16,0.62,3.46
2022,UMC,TWN,28,logic_mature,103797,2013,UMC,UMC,TWN,foundry,9.4,36.4,3.43,0.75,4.23
2023,UMC,TWN,28,logic_mature,98654,2013,UMC,UMC,TWN,foundry,6.87,37.2,2.56,0.55,3.09
2024,UMC,TWN,28,logic_mature,95461,2013,UMC,UMC,TWN,foundry,7.41,35.9,2.66,0.59,3.34
2025,UMC,TWN,28,logic_mature,100539,2013,UMC,UMC,TWN,foundry,8.15,39.3,3.21,0.65,3.67
2026,UMC,TWN,28,logic_mature,101362,2013,UMC,UMC,TWN,foundry,8.13,37.0,3.01,0.65,3.66
2017,UMC,TWN,14,logic_mature,0,2017,UMC,UMC,TWN,foundry,4.83,40.1,1.94,0.39,2.18
2018,UMC,TWN,14,logic_mature,9958,2017,UMC,UMC,TWN,foundry,5.14,39.3,2.02,0.41,2.31
2019,UMC,TWN,14,logic_mature,19564,2017,UMC,UMC,TWN,foundry,5.29,40.5,2.14,0.42,2.38
2020,UMC,TWN,14,logic_mature,25878,2017,UMC,UMC,TWN,foundry,6.04,44.1,2.66,0.48,2.72
2021,UMC,TWN,14,logic_mature,28186,2017,UMC,UMC,TWN,foundry,7.69,41.1,3.16,0.62,3.46
2022,UMC,TWN,14,logic_mature,31729,2017,UMC,UMC,TWN,foundry,9.4,36.4,3.43,0.75,4.23
2023,UMC,TWN,14,logic_mature,29019,2017,UMC,UMC,TWN,foundry,6.87,37.2,2.56,0.55,3.09
2024,UMC,TWN,14,logic_mature,30545,2017,UMC,UMC,TWN,foundry,7.41,35.9,2.66,0.59,3.34
2025,UMC,TWN,14,logic_mature,29384,2017,UMC,UMC,TWN,foundry,8.15,39.3,3.21,0.65,3.67
2026,UMC,TWN,14,logic_mature,35461,2017,UMC,UMC,TWN,foundry,8.13,37.0,3.01,0.65,3.66
2018,Samsung Memory,KOR,14,memory_DRAM,0,2018,Samsung Memory,005930,KOR,idm_memory,75.95,29.8,22.61,7.59,26.58
2019,Samsung Memory,KOR,14,memory_DRAM,270562,2018,Samsung Memory,005930,KOR,idm_memory,74.27,40.9,30.39,7.43,25.99
2020,Samsung Memory,KOR,14,memory_DRAM,599104,2018,Samsung Memory,005930,KOR,idm_memory,64.28,40.2,25.81,6.43,22.5
